latitude,longitude,Population,Address
35.753962,-77.937449,2714/mi^2,"Thorpshire Farm, Wilson, NC 27896"
35.735273,-77.916292,2132/mi^2,"800 Vance St NE, Wilson, NC 27893"
35.719143,-77.930679,1275/mi^2,NC Baseball Museum
35.724236,-77.909865,3074/mi^2,"224 Nash St NE, Wilson, NC 27893"
35.722622,-77.912841,4405/mi^2,"301 Goldsboro St S, Wilson, NC 27893"
35.716382,-77.89941,2712/mi^2,"1202 Hines St SE, Wilson, NC 27893"
35.709021,-77.905358,250/mi^2,"6407 Ward Blvd, Wilson, NC 27893"
35.719824,-77.883521,661/mi^2,"1665 Lipscomb Rd E, Wilson, NC 27893"
35.746451,-77.903232,985/mi^2,"1500 Corbett Ave NE, Elm City, NC 27822"
